,Address,prediction,label,Avg_min_between_sent_tnx,Avg_min_between_received_tnx,Time_Diff_between_first_and_last_(Mins),Sent_tnx,Received_Tnx,Number_of_Created_Contracts,Unique_Received_From_Addresses,Unique_Sent_To_Addresses,min_value_received,max_value_received,avg_val_received,min_val_sent,max_val_sent,avg_val_sent,min_value_sent_to_contract,max_val_sent_to_contract,avg_value_sent_to_contract,total_transactions_(including_tnx_to_create_contract),total_Ether_sent,total_ether_received,total_ether_sent_contracts,total_ether_balance,Total_ERC20_tnxs,ERC20_total_Ether_received,ERC20_total_ether_sent,ERC20_total_Ether_sent_contract,ERC20_uniq_sent_addr,ERC20_uniq_rec_addr,ERC20_uniq_sent_addr.1,ERC20_uniq_rec_contract_addr,ERC20_avg_time_between_sent_tnx,ERC20_avg_time_between_rec_tnx,ERC20_avg_time_between_rec_2_tnx,ERC20_avg_time_between_contract_tnx,ERC20_min_val_rec,ERC20_max_val_rec,ERC20_avg_val_rec,ERC20_min_val_sent,ERC20_max_val_sent,ERC20_avg_val_sent,ERC20_min_val_sent_contract,ERC20_max_val_sent_contract,ERC20_avg_val_sent_contract
3739,0x4109d89edf4a49e30e64fc4e497433a8dc02260a,Normal,Normal,7.34,1739.15,391184.1,220,224,0,3,1,0.010016,0.226857,0.102532,0.049314,0.226167,0.103251,0,0,0,444,22.71530397,22.96710146,0,0.251797488,2.0,0.01,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.005,0.0,0.0,0.0,0.0,0.0,0.0
300,0x1f6f1723d0db4e9783b7171392b6fa9ae1062fd9,Illicit,Illicit,6354.14,1029.29,248223.48,24,93,0,74,3,0.0,5.0,0.78055,0.0,20.794147,3.085582,0,0,0,117,74.05397228,72.59112288,0,-1.462849404,21.0,108.5777057,98.50000003,0.0,1.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,98.5,5.714616,0.0,98.5,49.25,0.0,0.0,0.0
1668,0xc31fb4c352cb68c847715d46d97c1fa2aa2d0f00,Illicit,Illicit,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2337,0x1e094a3ff8d5f33043f0472551ec9199fa705a0f,Normal,Normal,34793.92,0.0,278351.38,8,0,0,0,4,0.0,0.0,0.0,0.0,0.007123,0.001008,0,0,0,8,0.00806646,0.0,0,-0.00806646,10.0,5.84e-09,5.84e-09,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,0x24aa18952e80707dad3ab4c9c97e787f2af337ca,Illicit,Illicit,5025.25,1503.81,79890.15,15,3,0,3,5,0.011799,0.908,0.469933,0.0,1.39,0.180914,0,0,0,18,2.713708793,1.409799173,0,-1.30390962,3.0,2.58e-08,2.58e-08,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2877,0x8d51a0831a13c0b1a7619591b5c12b9626754c30,Normal,Normal,161.55,0.82,324.73,2,2,0,2,2,19.873121,81.126879,50.5,19.435,81.563974,50.499487,0,0,0,4,100.9989738,101.0,0,0.001026218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3715,0x3bd22cc67cb5bdfb0c8ae0448269be10df015631,Normal,Normal,0.0,30250.38,60500.77,0,2,1,2,0,0.0,55.123449,27.561724,0.0,0.0,0.0,0,0,0,3,0.0,55.12344882,0,55.12344882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2781,0x7a4ef8df3178c346343df6fa7e144d6020ef9b2e,Normal,Normal,109.51,0.7,329.92,3,2,0,2,2,4.801427,96.198573,50.5,0.499228,99.499746,33.666165,0,0,0,5,100.9984936,101.0,0,0.001506437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3566,0x1d66c7a907cbc57359faf3ddbbb01c0b7ea43050,Normal,Normal,0.0,1671.72,198934.83,0,119,1,3,0,0.0,1.15322,0.507942,0.0,0.0,0.0,0,0,0,120,0.0,60.44515642,0,60.44515642,2.0,2.063690624,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.723321,1.340369,1.031845,0.0,0.0,0.0,0.0,0.0,0.0
2712,0x6c7d450818797d20dcaf02844273a478658ae50d,Normal,Normal,33.83,0.0,101.48,3,1,0,1,3,101.0,101.0,101.0,0.1,52.900768,33.666163,0,0,0,4,100.998488,101.0,0,0.001512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
